




Analysis Type:	PANTHER Overrepresentation Test (Released 20190308)
Annotation Version and Release Date:	PANTHER version 14.1 Released 2019-03-12
Analyzed List:	qNSCI (Mus musculus )qNSCII (Mus musculus )pNSC (Mus musculus )
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Cellular Component	Mus musculus - REFLIST (22296)	qNSCI (177)	qNSCI (expected)	qNSCI (over/under)	qNSCI (fold Enrichment)	qNSCI (raw P-value)	qNSCI (FDR)	qNSCII (337)	qNSCII (expected)	qNSCII (over/under)	qNSCII (fold Enrichment)	qNSCII (raw P-value)	qNSCII (FDR)	pNSC (52)	pNSC (expected)	pNSC (over/under)	pNSC (fold Enrichment)	pNSC (raw P-value)	pNSC (FDR)
U5 snRNP (GO:0005682)	58	0	.46	-	 < 0.01	1.00E00	3.42E00	0	.88	-	 < 0.01	1.00E00	1.72E00	0	.14	-	 < 0.01	1.00E00	4.48E00
cytoplasm (GO:0005737)	3588	30	28.48	+	1.05	7.58E-01	3.43E00	71	54.23	+	1.31	1.69E-02	3.60E-01	17	8.37	+	2.03	3.59E-03	4.02E-01
integral component of endoplasmic reticulum membrane (GO:0030176)	58	0	.46	-	 < 0.01	1.00E00	3.45E00	1	.88	+	1.14	5.88E-01	2.23E00	0	.14	-	 < 0.01	1.00E00	4.57E00
myofibril (GO:0030016)	48	0	.38	-	 < 0.01	1.00E00	3.47E00	0	.73	-	 < 0.01	1.00E00	2.43E00	0	.11	-	 < 0.01	1.00E00	5.27E00
nuclear chromatin (GO:0000790)	420	2	3.33	-	.60	7.77E-01	3.48E00	6	6.35	-	.95	1.00E00	3.05E00	1	.98	+	1.02	1.00E00	5.03E00
cell-cell junction (GO:0005911)	69	0	.55	-	 < 0.01	1.00E00	3.50E00	1	1.04	-	.96	1.00E00	2.05E00	0	.16	-	 < 0.01	1.00E00	5.67E00
anchored component of plasma membrane (GO:0046658)	2	0	.02	-	 < 0.01	1.00E00	3.53E00	0	.03	-	 < 0.01	1.00E00	1.96E00	0	.00	-	 < 0.01	1.00E00	2.06E00
nuclear heterochromatin (GO:0005720)	2	0	.02	-	 < 0.01	1.00E00	3.56E00	0	.03	-	 < 0.01	1.00E00	1.97E00	0	.00	-	 < 0.01	1.00E00	2.07E00
axon initial segment (GO:0043194)	2	0	.02	-	 < 0.01	1.00E00	3.58E00	0	.03	-	 < 0.01	1.00E00	1.98E00	0	.00	-	 < 0.01	1.00E00	2.08E00
RNA polymerase complex (GO:0030880)	2	0	.02	-	 < 0.01	1.00E00	3.61E00	0	.03	-	 < 0.01	1.00E00	1.99E00	0	.00	-	 < 0.01	1.00E00	2.09E00
PML body (GO:0016605)	2	0	.02	-	 < 0.01	1.00E00	3.64E00	0	.03	-	 < 0.01	1.00E00	2.00E00	0	.00	-	 < 0.01	1.00E00	2.10E00
intrinsic component of plasma membrane (GO:0031226)	2	0	.02	-	 < 0.01	1.00E00	3.67E00	0	.03	-	 < 0.01	1.00E00	2.01E00	0	.00	-	 < 0.01	1.00E00	2.11E00
NADH dehydrogenase complex (GO:0030964)	2	0	.02	-	 < 0.01	1.00E00	3.70E00	0	.03	-	 < 0.01	1.00E00	2.02E00	0	.00	-	 < 0.01	1.00E00	2.12E00
cytosol (GO:0005829)	755	5	5.99	-	.83	8.36E-01	3.71E00	10	11.41	-	.88	8.79E-01	2.75E00	1	1.76	-	.57	1.00E00	4.00E00
intracellular (GO:0005622)	4417	36	35.06	+	1.03	8.50E-01	3.73E00	79	66.76	+	1.18	9.89E-02	1.08E00	19	10.30	+	1.84	4.75E-03	4.26E-01
intracellular organelle part (GO:0044446)	2	0	.02	-	 < 0.01	1.00E00	3.73E00	0	.03	-	 < 0.01	1.00E00	2.03E00	0	.00	-	 < 0.01	1.00E00	2.14E00
sarcomere (GO:0030017)	46	0	.37	-	 < 0.01	1.00E00	3.76E00	0	.70	-	 < 0.01	1.00E00	1.84E00	0	.11	-	 < 0.01	1.00E00	3.80E00
spindle (GO:0005819)	45	0	.36	-	 < 0.01	1.00E00	3.80E00	0	.68	-	 < 0.01	1.00E00	1.76E00	0	.10	-	 < 0.01	1.00E00	2.87E00
external encapsulating structure (GO:0030312)	1	0	.01	-	 < 0.01	1.00E00	3.83E00	0	.02	-	 < 0.01	1.00E00	2.45E00	0	.00	-	 < 0.01	1.00E00	1.64E00
DNA-directed RNA polymerase complex (GO:0000428)	1	0	.01	-	 < 0.01	1.00E00	3.86E00	0	.02	-	 < 0.01	1.00E00	2.46E00	0	.00	-	 < 0.01	1.00E00	1.64E00
Golgi cis cisterna (GO:0000137)	1	0	.01	-	 < 0.01	1.00E00	3.90E00	0	.02	-	 < 0.01	1.00E00	2.48E00	0	.00	-	 < 0.01	1.00E00	1.65E00
neuron projection terminus (GO:0044306)	1	0	.01	-	 < 0.01	1.00E00	3.93E00	0	.02	-	 < 0.01	1.00E00	2.49E00	0	.00	-	 < 0.01	1.00E00	1.65E00
condensed chromosome outer kinetochore (GO:0000940)	1	0	.01	-	 < 0.01	1.00E00	3.96E00	0	.02	-	 < 0.01	1.00E00	2.50E00	0	.00	-	 < 0.01	1.00E00	1.66E00
cell wall (GO:0005618)	1	0	.01	-	 < 0.01	1.00E00	4.00E00	0	.02	-	 < 0.01	1.00E00	2.52E00	0	.00	-	 < 0.01	1.00E00	1.67E00
contractile fiber part (GO:0044449)	1	0	.01	-	 < 0.01	1.00E00	4.04E00	0	.02	-	 < 0.01	1.00E00	2.53E00	0	.00	-	 < 0.01	1.00E00	1.67E00
trans-Golgi network (GO:0005802)	66	0	.52	-	 < 0.01	1.00E00	4.07E00	2	1.00	+	2.00	2.69E-01	1.61E00	0	.15	-	 < 0.01	1.00E00	7.72E00
coated vesicle (GO:0030135)	66	0	.52	-	 < 0.01	1.00E00	4.11E00	1	1.00	+	1.00	1.00E00	2.55E00	0	.15	-	 < 0.01	1.00E00	7.86E00
synaptonemal complex (GO:0000795)	62	0	.49	-	 < 0.01	1.00E00	4.15E00	0	.94	-	 < 0.01	1.00E00	2.59E00	0	.14	-	 < 0.01	1.00E00	3.18E00
proteasome complex (GO:0000502)	44	0	.35	-	 < 0.01	1.00E00	4.19E00	0	.67	-	 < 0.01	1.00E00	1.24E00	0	.10	-	 < 0.01	1.00E00	3.83E00
postsynaptic density (GO:0014069)	44	0	.35	-	 < 0.01	1.00E00	4.23E00	2	.67	+	3.01	1.50E-01	1.34E00	0	.10	-	 < 0.01	1.00E00	3.90E00
endomembrane system (GO:0012505)	659	5	5.23	-	.96	1.00E00	4.27E00	11	9.96	+	1.10	7.44E-01	2.36E00	3	1.54	+	1.95	1.99E-01	3.88E00
vacuole (GO:0005773)	1062	8	8.43	-	.95	1.00E00	4.31E00	20	16.05	+	1.25	3.03E-01	1.63E00	3	2.48	+	1.21	7.38E-01	6.88E00
microtubule cytoskeleton (GO:0015630)	326	2	2.59	-	.77	1.00E00	4.35E00	5	4.93	+	1.01	8.20E-01	2.59E00	0	.76	-	 < 0.01	1.00E00	5.97E00
